Gene_ID,Other_IDs
M9H77_00692,"Cro001G.11980.1.p6, Cro001G.20477.1.p1"
M9H77_00699,"Cro001G.733.1.p2, Cro001G.733.2.p1, Cro001G.736.1.p2"
M9H77_00682,"Cro001G.733.1.p2, Cro001G.733.2.p1, Cro001G.736.1.p2"
M9H77_00641,"Cro001G.16586.1.p5, Cro001G.16586.2.p5, CrChr1.2951"
M9H77_00648,"Cro001G.13140.3.p2, Cro001G.13140.5.p3, Cro001G.13140.5.p4, Cro001G.13140.6.p2, Cro001G.13141.1.p3, Cro001G.13141.1.p4, Cro001G.13141.2.p2, Cro001G.13141.3.p4, Cro001G.13141.4.p4, Cro001G.13141.9.p4, Cro001G.9158.1.p1"
M9H77_00652,Cro001G.7920.1.p1
M9H77_00653,"Cro001G.7041.1.p2, CrChr5.3303"
M9H77_00655,"Cro001G.7033.1.p1, Cro001G.7033.2.p1, Cro001G.7033.3.p1, Cro001G.7033.4.p1, Cro001G.7039.2.p1"
M9H77_00656,CrChr5.3306
M9H77_00666,"Cro001G.1862.1.p3, Cro001G.1862.5.p1, Cro001G.1866.1.p2, Cro001G.1866.2.p1, CrChr6.505"
M9H77_00674,"Cro001G.739.1.p2, Cro001G.739.2.p2, Cro001G.739.3.p2, Cro001G.739.4.p2, Cro001G.740.1.p2"
M9H77_00013,Cro001G.15750.1.p1
M9H77_00014,Cro001G.15750.1.p3
M9H77_00024,Cro001G.9348.1.p2
M9H77_00132,Cro001G.15585.1.p1
M9H77_00330,CrChr8.27
M9H77_00331,CrChr8.28
M9H77_00593,"Cro001G.9971.3.p2, Cro001G.9971.5.p2, Cro001G.9971.6.p3"
M9H77_00595,"Cro001G.9970.1.p1, CrChr3.3792"
M9H77_00596,"Cro001G.9969.2.p1, CrChr3.3793"
M9H77_00597,"CRO_T022585, Cro001G.9936.1.p1, CRO_T126709"
M9H77_00598,"CRO_T022586, Cro001G.9938.1.p1, CrChr3.3795"
M9H77_00600,"Cro001G.9933.1.p1, CrChr3.3797"
M9H77_00601,"Cro001G.9931.1.p1, CrChr3.3798"
M9H77_00602,Cro001G.9930.1.p1
M9H77_00603,"CRO_T022593, Cro001G.9929.1.p1, CRO_T126703"
M9H77_00604,"CRO_T022588, Cro001G.9928.1.p1, CrChr3.3801, CRO_T126702"
M9H77_00605,"Cro001G.9932.1.p1, Cro001G.9932.2.p1, Cro001G.9932.4.p1, Cro001G.9932.5.p1, Cro001G.9932.8.p1, Cro001G.9932.9.p1"
M9H77_00493,Cro001G.2988.1.p1
M9H77_00063,CRO_T025885
M9H77_00287,CRO_T033139
M9H77_00397,CrChr7.124
M9H77_00398,CRO_T007673
M9H77_00401,CRO_T028536
M9H77_00111,CRO_T008513
M9H77_00084,CRO_T013725
M9H77_00191,Cro001G.19611.32.p2
M9H77_00121,CRO_T012856
M9H77_00036,CRO_T116143
M9H77_00318,"CRO_T025615, CRO_T128428"
M9H77_00319,"CRO_T025617, Cro001G.14467.1.p1, CRO_T128427"
M9H77_00320,CRO_T025616
M9H77_00321,Cro001G.14466.1.p2
M9H77_00322,"Cro001G.14466.1.p1, Cro001G.14466.2.p1, Cro001G.14466.3.p1"
M9H77_00323,"Cro001G.14465.1.p1, CRO_T128425"
M9H77_00324,Cro001G.14469.1.p1
M9H77_00325,Cro001G.14470.1.p1
M9H77_00326,"CRO_T000997, Cro001G.14468.1.p1, CRO_T128422"
M9H77_00327,"CRO_T000999, CRO_T128421"
M9H77_00524,CRO_T007659
M9H77_00449,"CRO_T009310, CrChr7.976, CrChr7.978"
M9H77_00450,Cro001G.2111.19.p1
M9H77_00183,CRO_T023074
M9H77_00184,Cro001G.18670.1.p1
M9H77_00185,Cro001G.18672.1.p1
M9H77_00186,"CRO_T023077, Cro001G.18671.1.p1, CrChr7.3840, CRO_T123387"
M9H77_00188,CRO_T023079
M9H77_00467,"CRO_T024851, Cro001G.20928.1.p1, Cro001G.20928.2.p1, Cro001G.20928.3.p1, Cro001G.20928.4.p1, Cro001G.20928.5.p1, CrChr3.3669, CRO_T111410"
M9H77_00468,"Cro001G.20923.1.p1, CrChr3.3668"
